Region,Population,Population (1992) (People),Colour
'Asir,2261618,1340168,#e7298a
Al Bahah,487108,332157,#d95f02
Al Hudud ash Shamaliyah,375310,229060,#e6ab02
Al Jawf,520737,268228,#1b9e77
Al Madinah,2188138,1084947,#66a61e
Al Quassim,1455693,750979,#e7298a
Ar Riyad,8446866,3834986,#1b9e77
Ash Sharqiyah,5028753,2575820,#d95f02
Ha'il,716021,411284,#d95f02
Jizan,1603659,865961,#66a61e
Makkah,8803545,4467670,#e6ab02
Najran,595705,300994,#7570b3
Tabuk,930507,486134,#7570b3
