Province,Population,GDP,Colour
Eastern Cape,6712300,22072866667,#e7298a
Free State,2887500,14523266667,#66a61e
Gauteng,15176100,100472000000,#7570b3
KwaZulu-Natal,11289100,46148133333,#e6ab02
Limpopo,5982600,20779066667,#1b9e77
Mpumalanga,4592200,21581466667,#e7298a
North West,4027200,18648866667,#d95f02
Northern Cape,1263900,6058866667,#7570b3
Western Cape,6844300,39736200000,#e6ab02
