Region,Population,GDP,Colour
Brest,1347000,5318784440,#66a61e
Gomel,1386600,5680649224,#e7298a
Grodno,1025800,4649256104,#7570b3
Mogilev,1023000,3905212616,#e6ab02
Minsk,1472000,8336094080,#d95f02
Minsk City,2020600,15224452016,#7570b3
Vitebsk,1133400,4189099648,#1b9e77
