Governorate,Population,Population (1996) (People),Colour
Akkar,423596,198174,#e6ab02
Baalbak-Hermel,457932,196024,#7570b3
Beirut,433249,407403,#d95f02
Beqaa,534342,203867,#d95f02
Mount Lebanon,1802238,1145459,#1b9e77
Nabatieh,383839,205412,#e6ab02
North,790951,472436,#66a61e
South,590078,283057,#e7298a
