Province,Population,GDP,Colour
Azad Kashmir,4045366,7,#e7298a
Balochistan,12344408,9.13,#e6ab02
Islamabad Capital Territory,2006572,3.04,#7570b3
Khyber Pakhtunkhwa,35525047,27.39,#66a61e
Gilgit-Baltistan,922745,4.6,#e6ab02
Punjab,110012442,173.51,#d95f02
Sindh,47886051,83.71,#1b9e77
