Department,Population,Population (2000) (People),Colour
Chuquisaca,637013,551401,#d95f02
Cochabamba,2028639,1483641,#7570b3
Beni,480308,366864,#66a61e
La Paz,2926996,2415081,#d95f02
Oruro,551116,413600,#e7298a
Pando,154355,52857,#e7298a
Potosi,901555,742015,#1b9e77
Santa Cruz,3370059,2004753,#e6ab02
Tarija,583330,397578,#7570b3
