Division,Population,Population (2001) (People),Colour
Barisal,9145000,8173718,#e6ab02
Chittagong,31980000,24290384,#e7298a
Dhaka,40171000,29180051,#d95f02
Khulna,17252000,14705229,#66a61e
Mymensingh,12368000,9864665,#e6ab02
Rajshahi,20412000,16354723,#7570b3
Rangpur,17602000,13847150,#1b9e77
Sylhet,11291000,7939343,#66a61e
