Municipality,Population,Population (1986) (People),Colour
Acquaviva,2167,1148,#e6ab02
Borgo Maggiore,6946,4421,#66a61e
Chiesanuova,1152,724,#1b9e77
Domagnano,3584,1855,#e6ab02
Faetano,1168,738,#e7298a
Fiorentino,2552,1478,#d95f02
Montegiardino,966,577,#7570b3
San Marino,4063,4179,#7570b3
Serravalle,10976,6995,#d95f02
