Region,Population,GDP,Colour
Jihomoravský,1169788,100,#66a61e
Jihočeský,637460,200,#e7298a
Karlovarský,310245,300,#d95f02
Kraj Vysočina,512727,400,#d95f02
Královéhradecký,555683,500,#e7298a
Liberecký,439262,600,#7570b3
Moravskoslezský,1236028,700,#d95f02
Olomoucký,639946,800,#e6ab02
Pardubický,505285,900,#7570b3
Plzeňský,574694,1000,#1b9e77
Prague,1272690,1100,#7570b3
Středočeský,1274633,1200,#e6ab02
Zlínský,590459,1300,#e7298a
Ústecký,830371,1400,#e7298a
